Wall time,Step,Value
1710896663.462316,212562,6.014919051722245e-08
1710897639.3448188,216900,3.246543656132417e-08
1710898619.2027378,221238,4.4437999946467244e-08
1710899600.2673025,225576,3.67569263914902e-08
1710900589.5458078,229914,4.2382026776977e-08
1710901563.5213163,234252,4.382797058610777e-08
1710902550.4556172,238590,5.2783811099743616e-08
1710903523.9996903,242928,5.310379691536582e-08
1710904503.141235,247266,6.183742584653373e-08
1710905473.0814612,251604,5.5988600422551826e-08
1710906441.597166,255942,5.196084629233155e-08
1710907409.8631475,260280,5.4929870429987204e-08
1710908362.687889,264618,6.625019466355297e-08
1710909347.017939,268956,7.86879326142298e-08
1710910313.4347415,273294,5.593545537863065e-08
1710911290.7221453,277632,6.751734815679811e-08
1710912268.3400297,281970,5.135954950219457e-08
1710913244.7177463,286308,6.196290769366897e-08
1710914227.3812857,290646,5.4987388864446984e-08
1710915204.7395456,294984,5.926109025722326e-08
1710916188.469464,299322,6.166357735537531e-08
1710917164.0255494,303660,5.455941831655764e-08
1710918142.3712416,307998,6.192300361362868e-08
1710919114.032277,312336,6.115151762742244e-08
1710920089.7107966,316674,2.567075085835313e-08
1710921059.4045937,321012,4.214941284885754e-08
1710922028.2501407,325350,4.663059627318944e-08
1710923009.6896129,329688,3.9927716244392286e-08
1710923984.557974,334026,3.7442443812096826e-08
1710924962.7051914,338364,2.982096702908166e-08
1710925931.6941738,342702,3.81860054687877e-08
1710926910.6787784,347040,2.483611361014937e-08
1710927905.5063837,351378,2.8285709774422685e-08
1710928872.985863,355716,3.6101418743328395e-08
1710929844.4284797,360054,3.9029192322459494e-08
1710930836.1781971,364392,3.6488351895513915e-08
1710931817.3030176,368730,3.33325651524774e-08
1710932782.1238308,373068,2.495950113257095e-08
1710933749.6691976,377406,2.3296557571939047e-08
1710934712.2876081,381744,2.434521384486743e-08
1710935677.31316,386082,3.030951134519455e-08
1710936666.4449904,390420,2.661664133540853e-08
1710937636.5475554,394758,3.145497018408605e-08
1710938605.3289328,399096,3.3546545097351554e-08
1710939570.6013975,403434,2.8255234596485934e-08
1710940535.6757658,407772,3.1618920814935336e-08
1710941514.6324,412110,2.5739486986253723e-08
1710942484.7406332,416448,3.101140677586045e-08
1710943458.816639,420786,2.1528109073187807e-08
1710944445.0937076,425124,3.554691829776857e-08
1710945406.768999,429462,3.0126134475949584e-08
1710946379.3950768,433800,3.2288479445696794e-08
1710947344.6941235,438138,4.239051776266933e-08
1710948300.36976,442476,3.0114463811514725e-08
1710949277.879897,446814,4.403298703437031e-08
1710950245.4766397,451152,2.8030882504026522e-08
1710951204.5661774,455490,2.282860656066532e-08
1710952169.454796,459828,3.2413673523024045e-08
1710953128.4071357,464166,3.254616487424755e-08
1710954096.6370895,468504,3.202286791292863e-08
1710955054.0746782,472842,2.2372294239403345e-08
1710956010.8541658,477180,3.007425419809806e-08
1710956973.8854144,481518,2.611618477033062e-08
1710957939.1325889,485856,2.4516069174751465e-08
1710958910.7809322,490194,3.10013099635853e-08
1710959880.632337,494532,3.774940537937255e-08
1710960846.592883,498870,3.436047535387843e-08
1710961816.7824283,503208,4.2649496378999174e-08
1710962786.194473,507546,2.986215719147367e-08
1710963770.4750664,511884,2.8448457811691696e-08
1710964742.7939036,516222,4.02091728801679e-08
1710965721.6637979,520560,3.014670824086352e-08
1710966690.0665987,524898,2.259447207109133e-08
1710967655.0527563,529236,4.56913902269207e-08
1710968632.6053963,533574,2.8998890400089294e-08
1710969582.5556247,537912,3.2505461433629534e-08
1710970545.8471336,542250,3.570923112761193e-08
1710971506.8038716,546588,3.932731829081604e-08
1710972456.2933145,550926,2.75067648658478e-08
1710973419.9936223,555264,3.048580055065031e-08
1710974387.6393926,559602,4.509094253535295e-08
1710975358.9798589,563940,3.115754054761055e-08
1710976321.8914063,568278,3.9282866737266886e-08
1710977286.3578174,572616,4.123144492496067e-08
1710978252.019339,576954,4.1196329902959405e-08
1710979225.9593146,581292,3.4060629872101345e-08
1710980193.8979344,585630,5.781230427714945e-08
