Wall time,Step,Value
1712128960.854148,2304,3.6283838748931885
1712129487.3545713,4608,3.1207945346832275
1712130008.880262,6912,3.3465893268585205
1712130525.384641,9216,3.3553571701049805
1712131044.1290636,11520,3.3754303455352783
1712131570.2036471,13824,3.5688316822052
1712132092.6852338,16128,3.824970245361328
1712132524.7053454,18432,3.7409889698028564
1712133038.2910025,20736,3.708695650100708
1712133554.6548629,23040,3.6689515113830566
1712134067.8231535,25344,3.4321582317352295
1712134585.3707633,27648,3.679295301437378
1712135102.6669908,29952,3.1604042053222656
1712135614.7840226,32256,4.021603107452393
1712136043.6879823,34560,3.632723331451416
1712136568.1148527,36864,3.725594997406006
1712137077.7784026,39168,3.835550308227539
1712137587.8583276,41472,3.5304129123687744
1712138107.3222773,43776,3.546982526779175
1712138624.5726871,46080,3.616582155227661
1712139142.0470638,48384,3.7551822662353516
1712139667.6811523,50688,3.7264280319213867
1712140104.2732725,52992,3.7449209690093994
1712140630.3936627,55296,3.7593834400177
1712141152.7775464,57600,3.8562421798706055
1712141669.970301,59904,3.9863274097442627
1712142195.4947746,62208,3.565383195877075
1712142720.6139493,64512,3.926344633102417
1712143245.143021,66816,3.4213225841522217
1712143676.208244,69120,3.5256118774414062
1712144196.2317426,71424,3.666766405105591
1712144712.8965378,73728,3.7035317420959473
1712145228.916777,76032,3.9118175506591797
1712145746.6508722,78336,4.130517959594727
1712146265.718507,80640,3.49035382270813
1712146784.022165,82944,3.671921730041504
1712147317.2452667,85248,3.902845859527588
1712147746.839111,87552,4.137340068817139
1712148268.3148296,89856,4.213724136352539
1712148786.3991902,92160,4.3562235832214355
1712149306.0804257,94464,3.7631688117980957
1712149823.822547,96768,3.9775726795196533
1712150345.493005,99072,4.054416656494141
1712150866.5359538,101376,3.830460548400879
1712151296.2760758,103680,4.364883899688721
1712151818.7660046,105984,3.7378430366516113
1712152336.2921627,108288,4.380252361297607
1712152848.521196,110592,4.481875419616699
1712153366.3285437,112896,3.984893560409546
1712153888.6324027,115200,3.9032485485076904
1712154409.1835287,117504,4.6831374168396
1712154933.0458088,119808,4.66243839263916
1712155366.167482,122112,4.274731636047363
1712155880.2902815,124416,4.386056423187256
1712156402.5811923,126720,4.653896331787109
1712156924.9626899,129024,4.792271137237549
1712157440.745268,131328,4.788845539093018
1712157960.7888975,133632,4.809266090393066
1712158488.2389636,135936,4.615187168121338
1712158922.1846662,138240,4.820349216461182
1712159445.418494,140544,4.601166248321533
1712159956.6140883,142848,5.657154083251953
1712160476.0776217,145152,5.194421291351318
1712160994.5716507,147456,5.962352275848389
1712161512.2655163,149760,5.128654479980469
1712162027.445293,152064,5.5319647789001465
1712162541.8135526,154368,5.609724998474121
1712162972.0919015,156672,6.296446323394775
1712163489.2576737,158976,5.705438137054443
1712164004.1869304,161280,6.232908248901367
1712164511.0424447,163584,6.283542633056641
1712165021.055787,165888,6.152442455291748
1712165535.1620889,168192,6.217894077301025
1712166044.6959183,170496,6.2724409103393555
1712166472.0648599,172800,6.13521146774292
1712166982.693025,175104,6.36353063583374
1712167496.9343102,177408,6.394082069396973
1712168012.1954024,179712,6.437272071838379
1712168518.03395,182016,6.743130207061768
1712169030.396848,184320,6.714292049407959
1712169538.007687,186624,7.109891414642334
1712169965.2064748,188928,7.223877906799316
1712170477.7034268,191232,6.60191535949707
1712170985.1606197,193536,7.340137004852295
1712171495.0890965,195840,6.896796226501465
1712172002.4662383,198144,7.000042915344238
1712172513.2246163,200448,7.2784223556518555
1712173026.6890965,202752,7.407062530517578
1712173538.4628646,205056,6.85984992980957
1712173967.385123,207360,7.0778703689575195
1712174476.1304655,209664,6.971644401550293
1712174987.3898168,211968,7.822793960571289
1712175499.430676,214272,7.738225936889648
1712176012.3032844,216576,6.874152660369873
1712176521.6184967,218880,7.6622090339660645
1712177033.4689395,221184,7.359341144561768
1712177462.3561747,223488,7.670374393463135
1712177974.1984653,225792,7.419048309326172
1712178480.6515367,228096,7.142385482788086
1712178991.2161179,230400,8.030230522155762
1712179501.048889,232704,7.689023017883301
1712180013.9236422,235008,7.860683917999268
1712180519.3505986,237312,8.1610689163208
1712181032.0091865,239616,7.744179725646973
1712181461.3859508,241920,8.204686164855957
1712181970.6740263,244224,7.826675891876221
1712182483.5818427,246528,7.845682621002197
1712182992.566957,248832,7.842487335205078
1712183506.1895726,251136,8.315522193908691
1712184020.6614008,253440,8.40184211730957
1712184525.9838924,255744,8.926056861877441
1712184955.7871244,258048,8.240913391113281
1712185464.028282,260352,8.529812812805176
1712185970.308539,262656,8.693408966064453
1712186477.8644972,264960,9.327449798583984
1712186984.7310858,267264,9.486577033996582
1712187494.9307451,269568,9.574095726013184
1712188006.447307,271872,9.577818870544434
1712188515.1632047,274176,9.529837608337402
1712188939.9344914,276480,10.0956449508667
1712189446.8273096,278784,10.576310157775879
1712189956.9445236,281088,10.617502212524414
1712190465.5312498,283392,10.104863166809082
1712190974.547067,285696,10.609369277954102
1712191482.222514,288000,10.780810356140137
1712191995.3959053,290304,10.890176773071289
1712192426.8096247,292608,11.290457725524902
1712192936.4986515,294912,10.692177772521973
1712193445.062734,297216,11.27019214630127
1712193955.481166,299520,11.267860412597656
1712194467.6035335,301824,11.11771297454834
1712194978.9506545,304128,11.232473373413086
1712195496.8577206,306432,11.255383491516113
1712196013.8378243,308736,11.567091941833496
1712196447.336128,311040,11.473113059997559
1712196958.549624,313344,11.271623611450195
1712197467.338579,315648,11.118173599243164
1712197979.816881,317952,11.403190612792969
1712198490.1201441,320256,11.415990829467773
1712198999.5994062,322560,11.657190322875977
1712199508.2131941,324864,11.343987464904785
1712199945.7779276,327168,11.562984466552734
1712200461.4469187,329472,11.819170951843262
1712200973.0907774,331776,11.686081886291504
1712201488.6152284,334080,11.39105224609375
1712202010.857863,336384,11.671265602111816
