Wall time,Step,Value
1706686511.2087686,2144,2.9921200275421143
1706686921.854836,4288,2.8991084480285645
1706687327.5086942,6432,3.517300844192505
1706687738.5212517,8576,3.4108848571777344
1706688151.084175,10720,3.4464974403381348
1706688564.2376337,12864,3.0307397842407227
1706688980.8367891,15008,3.2743923664093018
1706689393.7788787,17152,3.2099006175994873
1706689810.3189666,19296,3.036026954650879
1706690228.1415956,21440,3.1258981227874756
1706690648.3905842,23584,3.206512451171875
1706691069.0709162,25728,3.240499496459961
1706691490.7965662,27872,3.447632312774658
1706691904.6358852,30016,3.0499749183654785
1706692324.360623,32160,3.171006917953491
1706692741.351729,34304,3.1026601791381836
1706693159.2825446,36448,3.0850651264190674
1706693566.3610592,38592,3.1232430934906006
1706693984.3743496,40736,3.680694341659546
1706694405.1570947,42880,3.349015235900879
1706694827.1601691,45024,3.2827036380767822
1706695244.759936,47168,3.5314102172851562
1706695659.0999615,49312,3.2343242168426514
1706696075.9821885,51456,3.670912265777588
1706696489.686638,53600,3.3105359077453613
1706696901.6467597,55744,3.199920654296875
1706697311.3385434,57888,3.6210007667541504
1706697723.6992235,60032,3.44159197807312
1706698130.6695292,62176,3.367007255554199
1706698547.6170719,64320,3.2971534729003906
1706698956.4592407,66464,3.3484606742858887
1706699372.3394647,68608,3.239802598953247
1706699781.718694,70752,3.5399155616760254
1706700193.2795427,72896,3.5307388305664062
1706700603.8827236,75040,3.2484121322631836
1706701017.6462808,77184,3.079993963241577
1706701435.1675894,79328,3.2091715335845947
1706701849.888557,81472,2.9224746227264404
1706702266.209845,83616,3.3618228435516357
1706702678.8246615,85760,3.4147696495056152
1706703094.0454912,87904,3.2353627681732178
1706703506.7062883,90048,3.284822702407837
1706703922.2650166,92192,3.656595230102539
1706704339.3954878,94336,3.4834377765655518
1706704748.9057305,96480,3.325965166091919
1706705155.7801085,98624,3.65096116065979
1706705573.882761,100768,3.1574885845184326
1706705990.0769856,102912,3.113436222076416
1706706403.399499,105056,3.4490764141082764
1706706823.9932845,107200,3.4135031700134277
1706707234.6281543,109344,3.4410431385040283
1706707649.6713128,111488,3.679567813873291
1706708063.3937283,113632,3.4447405338287354
1706708474.541882,115776,3.700200319290161
1706708882.6541715,117920,3.901672840118408
1706709288.1938922,120064,3.278635025024414
1706709698.787002,122208,3.6955971717834473
1706710102.9735332,124352,3.7262027263641357
1706710514.4021437,126496,3.6688172817230225
1706710924.6103346,128640,3.7940337657928467
1706711340.763652,130784,3.78735613822937
1706711747.817354,132928,3.5951905250549316
