Wall time,Step,Value
1712131129.6458166,2048,3.544490098953247
1712131864.1964185,4096,2.919188976287842
1712132612.4456766,6144,2.982839345932007
1712133350.8572764,8192,3.4996142387390137
1712134088.5041654,10240,3.286310911178589
1712134753.6435935,12288,2.9903552532196045
1712135493.7914844,14336,3.304678201675415
1712136223.5901985,16384,3.2957801818847656
1712136954.6139867,18432,3.0270960330963135
1712137686.0717978,20480,3.336771011352539
1712138429.1019316,22528,3.1651554107666016
1712139085.5581112,24576,3.3976988792419434
1712139811.762263,26624,2.998478889465332
1712140545.9643762,28672,3.4692556858062744
1712141283.5125172,30720,3.343712091445923
1712142024.9255917,32768,3.0740199089050293
1712142688.0458252,34816,3.127509832382202
1712143436.4748275,36864,3.747518539428711
1712144177.3094938,38912,3.2322654724121094
1712144912.990218,40960,3.319171905517578
1712145652.2558286,43008,3.4291117191314697
1712146405.285135,45056,3.4348442554473877
1712147066.9531486,47104,3.6245572566986084
1712147801.701105,49152,3.344526529312134
1712148534.412832,51200,3.372184991836548
1712149264.5846934,53248,3.1769144535064697
1712149996.392134,55296,3.313253164291382
1712150650.2837243,57344,3.3223185539245605
1712151387.1806023,59392,3.6351256370544434
1712152115.4173632,61440,3.4033491611480713
1712152851.5977495,63488,3.5674057006835938
1712153582.2418413,65536,3.423405885696411
1712154312.887911,67584,3.8241167068481445
1712154966.0970056,69632,3.601717948913574
1712155691.6567936,71680,3.2460334300994873
1712156424.2520628,73728,3.469207763671875
1712157141.6825888,75776,3.552731990814209
1712157867.7175612,77824,3.3648593425750732
1712158593.6784608,79872,3.4053266048431396
1712159254.0754368,81920,3.9602513313293457
1712159994.5203667,83968,3.9581410884857178
1712160734.8133109,86016,3.4822797775268555
1712161477.5650365,88064,3.4077157974243164
1712162207.1669867,90112,3.8776276111602783
1712162858.4738438,92160,3.610913038253784
1712163583.6851707,94208,3.671356201171875
1712164315.6665096,96256,3.802109956741333
1712165049.2993612,98304,3.246534585952759
1712165778.2596004,100352,4.038567543029785
1712166516.610569,102400,3.3304221630096436
1712167173.061567,104448,3.473726272583008
1712167904.58313,106496,3.4102542400360107
1712168640.2655609,108544,3.781181573867798
1712169372.3376956,110592,3.906519889831543
1712170115.506558,112640,4.065600395202637
1712170770.6771202,114688,3.5234107971191406
1712171492.8343666,116736,3.650719165802002
1712172225.9755645,118784,3.948700428009033
1712172957.83188,120832,4.27841854095459
1712173693.115858,122880,3.691551446914673
1712174420.901171,124928,4.298125267028809
1712175078.1303854,126976,4.1721038818359375
1712175802.8904784,129024,3.9438297748565674
1712176537.7075512,131072,3.8230199813842773
1712177262.6507666,133120,3.940619707107544
1712177983.9427266,135168,3.6596851348876953
1712178709.3513494,137216,4.147690773010254
1712179357.0490167,139264,3.9574835300445557
1712180085.4696684,141312,4.482500076293945
1712180812.1433253,143360,4.05519962310791
1712181538.5276682,145408,4.649086952209473
1712182263.162715,147456,4.6312665939331055
1712182913.5494866,149504,4.929898262023926
1712183647.474041,151552,4.455755710601807
1712184367.957833,153600,5.196441650390625
1712185082.0503163,155648,5.047407627105713
1712185807.7070682,157696,4.968184471130371
1712186535.423573,159744,5.208981037139893
1712187180.0998292,161792,4.820931434631348
1712187903.52234,163840,5.447752952575684
1712188638.6228533,165888,5.156037330627441
1712189368.3649526,167936,5.22852897644043
1712190113.0647614,169984,5.596357822418213
1712190773.4654315,172032,5.261562347412109
1712191505.3394134,174080,5.3058857917785645
1712192232.6851923,176128,5.430037498474121
1712192972.4841528,178176,5.170281410217285
1712193707.3280425,180224,5.492761135101318
1712194447.6279056,182272,5.328874588012695
1712195102.136126,184320,5.63408899307251
1712195843.8691578,186368,5.342854022979736
1712196579.0726767,188416,5.284014701843262
1712197315.3629208,190464,5.398867607116699
1712198046.3090463,192512,5.654783725738525
1712198707.4159703,194560,5.783658504486084
1712199438.8160493,196608,5.445969581604004
1712200168.6139302,198656,5.808373928070068
1712200894.17235,200704,5.8122406005859375
1712201621.5374885,202752,5.571506977081299
1712202353.9464414,204800,5.773598670959473
1712203012.9614954,206848,5.791791915893555
1712203748.900869,208896,6.2120442390441895
1712204476.0902822,210944,5.841187953948975
1712205213.408892,212992,5.790228366851807
1712205937.9927251,215040,6.107908248901367
1712206655.0462337,217088,6.139564037322998
1712207309.3703861,219136,6.010566234588623
1712208037.9544559,221184,5.959253787994385
1712208774.7779162,223232,5.887369632720947
1712209511.2435904,225280,5.825472354888916
1712210250.6664653,227328,6.266552448272705
1712210906.299959,229376,6.667472839355469
1712211634.8576994,231424,6.2311601638793945
1712212370.7764714,233472,5.9875359535217285
1712213112.6418202,235520,6.191070556640625
1712213844.229355,237568,6.350374221801758
1712214583.898871,239616,6.758074760437012
1712215241.723371,241664,6.677219390869141
1712215981.9190762,243712,6.526902198791504
1712216720.8614502,245760,7.060782432556152
1712217463.45286,247808,6.552169322967529
1712218194.0550616,249856,6.866755485534668
1712218863.653846,251904,7.363566875457764
1712219594.1245134,253952,7.421388626098633
1712220336.9462452,256000,7.848241806030273
1712221070.4200256,258048,7.9481096267700195
1712221803.9630337,260096,6.484272003173828
1712222534.956773,262144,7.726607799530029
1712223187.1993158,264192,8.019998550415039
1712223928.827444,266240,8.289074897766113
1712224662.3744462,268288,8.313222885131836
1712225409.2136796,270336,8.728361129760742
1712226148.26148,272384,8.483482360839844
1712226901.9129632,274432,8.309005737304688
1712227554.227491,276480,8.535139083862305
1712228292.553112,278528,8.034164428710938
1712229021.0643468,280576,8.605802536010742
1712229748.0119858,282624,8.648018836975098
1712230493.6966677,284672,8.416901588439941
1712231149.934526,286720,8.381075859069824
1712231888.6982124,288768,8.48521614074707
1712232619.7928615,290816,8.894015312194824
1712233352.7160785,292864,8.76328182220459
1712234099.877577,294912,9.065914154052734
1712234831.6002233,296960,9.043025016784668
1712235481.6012921,299008,9.429893493652344
1712236205.1127198,301056,9.582597732543945
1712236931.5362298,303104,9.621312141418457
1712237663.8610108,305152,9.70039176940918
1712238395.1169066,307200,9.761436462402344
1712239045.1624322,309248,9.92724323272705
1712239780.2596505,311296,9.885720252990723
1712240505.5973575,313344,8.988759994506836
1712241241.8580537,315392,7.128505706787109
1712241982.3034372,317440,5.790584087371826
1712242712.5656357,319488,5.470054626464844
1712243360.8587866,321536,5.21107292175293
1712244091.4228032,323584,5.163304805755615
1712244830.7799337,325632,5.257312774658203
1712245570.7599442,327680,5.578364849090576
1712246294.5699549,329728,5.780835151672363
1712246948.2308662,331776,5.696788311004639
1712247672.0685794,333824,6.008680820465088
1712248382.5510736,335872,6.324029445648193
1712249098.1866198,337920,6.906556129455566
1712249811.835016,339968,7.057051181793213
1712250525.3503513,342016,7.259761333465576
1712251178.347537,344064,7.121514320373535
1712251896.19684,346112,7.07379674911499
1712252613.7908494,348160,7.392124652862549
1712253321.258806,350208,7.323728084564209
1712254043.3132856,352256,7.512047290802002
1712254768.7182922,354304,7.506346225738525
1712255415.7896714,356352,7.510252952575684
1712256139.965989,358400,7.5141143798828125
1712256863.043558,360448,7.5364089012146
1712257586.240723,362496,7.565401077270508
1712258314.3356447,364544,7.532431602478027
1712258973.3084972,366592,7.703421592712402
1712259694.5766022,368640,7.739284515380859
